session_id,session_length,session_position,is_skip_int
5145,108,88,1
5146,15,5,0
5146,15,12,0
5147,61,29,0
5147,61,32,0
5147,61,34,0
5147,61,46,0
5148,123,5,1
5148,123,24,1
5148,123,25,0
5148,123,29,1
5148,123,59,1
5148,123,64,1
5148,123,69,1
5148,123,80,1
5148,123,82,0
5148,123,106,1
5148,123,113,1
5152,71,5,1
5152,71,8,1
5152,71,25,0
5152,71,39,1
5152,71,44,1
5152,71,50,1
5152,71,55,0
5154,42,8,0
5155,114,0,0
5155,114,2,0
5155,114,16,0
5155,114,42,0
5155,114,60,0
5155,114,81,0
5155,114,85,0
5155,114,97,0
5155,114,104,0
5156,42,8,1
5156,42,15,1
5156,42,29,1
5156,42,32,1
5156,42,33,0
5156,42,35,1
5157,72,33,0
5157,72,51,1
5157,72,54,1
5158,26,7,0
5158,26,10,1
5158,26,25,0
5160,26,25,0
5162,202,48,1
5162,202,49,0
5162,202,62,1
5162,202,85,1
5162,202,113,1
5162,202,126,0
5162,202,154,1
5162,202,163,1
5162,202,176,1
5162,202,178,1
5162,202,182,1
5164,16,3,0
5166,79,1,0
5166,79,9,0
5166,79,24,0
5166,79,54,0
5167,4,3,0
5168,34,4,0
5168,34,5,0
5168,34,11,0
5168,34,27,1
5168,34,29,1
5170,16,3,1
5170,16,8,0
5172,10,5,0
5173,149,5,0
5173,149,14,1
5173,149,34,1
5173,149,37,1
5173,149,45,1
5173,149,49,1
5173,149,74,0
5173,149,104,1
5173,149,107,1
5173,149,136,1
5174,18,6,0
5174,18,13,1
5174,18,15,1
5176,30,2,1
5179,65,4,0
5179,65,7,0
5179,65,39,1
5179,65,46,0
5179,65,51,1
5182,11,7,1
5183,154,0,0
5183,154,15,1
5183,154,26,1
5183,154,34,0
5183,154,70,0
5183,154,91,1
5183,154,142,1
5184,32,7,1
5184,32,18,1
5184,32,29,0
5186,59,0,0
5186,59,28,1
5186,59,48,1
5187,14,0,1
5188,27,10,1
5189,52,16,0
5189,52,22,0
5189,52,40,1
5189,52,47,0
5190,40,8,1
5190,40,19,1
5190,40,25,1
5190,40,28,0
5190,40,39,0
5191,25,17,0
5193,46,39,0
5196,98,20,0
5196,98,29,1
5196,98,56,1
5196,98,65,1
5196,98,81,1
5196,98,92,0
5197,47,15,1
5197,47,17,0
5197,47,39,1
5198,50,0,0
5198,50,15,1
5199,29,11,1
5199,29,20,0
5200,32,7,1
5200,32,27,0
5201,18,3,0
5202,147,0,0
5202,147,7,0
5202,147,8,1
5202,147,12,1
5202,147,17,0
5202,147,40,1
5202,147,43,1
5202,147,49,0
5202,147,50,1
5202,147,88,1
5202,147,89,0
5202,147,97,0
5202,147,98,1
5202,147,120,1
5204,54,1,1
5204,54,6,1
5204,54,10,1
5204,54,14,1
5204,54,38,0
5204,54,52,1
5206,10,3,1
5207,14,3,1
5207,14,5,0
5208,29,3,0
5208,29,19,1
5210,10,8,1
5211,119,14,0
5211,119,24,1
5211,119,47,1
5211,119,83,1
5211,119,89,0
5211,119,96,0
5211,119,115,1
5213,20,0,1
5213,20,2,1
5213,20,4,0
5216,71,42,1
5216,71,47,0
5216,71,67,1
5217,65,1,0
5217,65,11,1
5217,65,15,1
5217,65,26,1
5220,39,1,0
5220,39,24,0
5220,39,31,0
5221,49,0,0
5221,49,1,1
5221,49,4,1
5221,49,5,1
5221,49,11,1
5221,49,15,0
5221,49,21,1
5222,75,15,1
5222,75,38,0
5222,75,58,1
5222,75,63,1
5223,79,12,0
5223,79,22,1
5223,79,39,0
5223,79,69,0
5223,79,71,0
5224,88,32,0
5224,88,59,0
5224,88,86,0
5225,89,22,0
5225,89,46,0
5225,89,47,0
5227,9,0,0
5228,67,0,0
5228,67,23,0
5228,67,33,0
5228,67,50,1
5231,99,53,1
5231,99,76,1
5231,99,80,1
5231,99,93,1
5231,99,95,1
5231,99,98,0
5232,71,2,0
5232,71,9,1
5232,71,10,0
5232,71,16,1
5232,71,32,1
5232,71,39,1
5232,71,52,0
5232,71,57,1
5232,71,60,1
5232,71,61,1
5232,71,65,0
5232,71,66,1
5234,71,12,1
5234,71,25,1
5234,71,26,1
5234,71,43,1
5234,71,60,1
5234,71,64,0
5234,71,65,1
5235,18,3,0
5236,34,18,1
5237,23,13,0
5237,23,22,0
5239,210,31,1
5239,210,60,1
5239,210,61,1
5239,210,64,1
5239,210,78,1
5239,210,87,0
5239,210,100,1
5239,210,107,1
5239,210,124,0
5240,56,15,1
5240,56,22,1
5240,56,52,0
5240,56,55,0
5241,37,6,0
5241,37,36,0
5242,11,9,0
5247,34,14,1
5247,34,20,0
5247,34,32,1
5248,102,5,0
5248,102,6,1
5248,102,32,0
5248,102,35,0
5248,102,66,1
5248,102,80,1
5248,102,89,1
5249,47,15,0
5249,47,30,1
5249,47,37,0
5250,48,12,1
5250,48,13,1
5250,48,21,1
5250,48,40,1
5251,62,0,0
5251,62,29,0
5251,62,58,0
5253,9,6,1
5254,55,22,0
5254,55,34,0
5254,55,38,1
5254,55,47,1
5255,49,10,0
5255,49,21,1
5255,49,24,1
5256,19,9,0
5259,65,10,1
5259,65,18,1
5259,65,49,1
5260,21,12,1
5263,65,5,1
5263,65,27,0
5263,65,31,0
5263,65,37,0
5263,65,39,0
5263,65,54,1
5264,20,2,1
5264,20,14,0
5266,13,0,1
5267,3,1,0
5268,50,7,0
5268,50,34,1
5268,50,37,1
5269,4,3,0
5270,91,34,1
5270,91,61,0
5270,91,70,0
5270,91,75,1
5272,35,6,1
